"player_name","team","player_age","Position","games_played","games_started","player_targets","player_rec","player_catch_percentage","player_yards","player_ypr","player_td","player_first_downs","player_success","longest_reception","player_yards_per_target","receptions_per_game","yards_per_game","player_target_per_game","player_td_per_game","player_first_downs_per_game","contract_length","contract_value","contract_AAV","contract_bonus","contract_gteed"
"Mike Evans","TAM",29,"WR",15,15,127,77,0.606,1124,14.6,6,53,54.3,63,8.9,5.1,74.9,8.46666666666667,0.4,3.53333333333333,5,82500000,16500000,"-","$38,258,000"
"Mike Williams","LAC",28,"WR",13,13,93,63,0.677,895,14.2,4,39,59.1,55,9.6,4.8,68.8,7.15384615384615,0.307692307692308,3,3,6e+07,2e+07,"$21,000,000","$40,000,000"
"Miles Boykin","PIT",26,"WR",16,1,3,2,0.667,11,5.5,0,1,33.3,11,3.7,0.1,0.7,0.1875,0,0.0625,1,1080000,1080000,"-","-"
"Nelson Agholor","NWE",29,"WR",16,7,53,31,0.585,362,11.7,2,12,37.7,44,6.8,1.9,22.6,3.3125,0.125,0.75,1,3250000,3250000,"$2,085,000","$3,250,000"
"Nico Collins","HOU",23,"WR",10,7,66,37,0.561,481,13,2,21,42.4,58,7.3,3.7,48.1,6.6,0.2,2.1,4,4871516,1217879,"$902,920","$902,920"
"Noah Brown","DAL",26,"WR",16,13,74,43,0.581,555,12.9,3,25,48.6,51,7.5,2.7,34.7,4.625,0.1875,1.5625,1,2600000,2600000,"$750,000","$2,250,000"
"Olamide Zaccheaus","ATL",25,"WR",17,13,61,40,0.656,533,13.3,3,25,52.5,45,8.7,2.4,31.4,3.58823529411765,0.176470588235294,1.47058823529412,1,1232500,1232500,"$100,000","$650,000"
"Parris Campbell","IND",25,"WR",17,16,91,63,0.692,623,9.9,3,32,54.9,49,6.8,3.7,36.6,5.35294117647059,0.176470588235294,1.88235294117647,1,4700000,4700000,"$1,500,000","$2,900,000"
"Penny Hart","SEA",26,"WR",9,0,4,3,0.75,20,6.7,0,1,25,15,5,0.3,2.2,0.444444444444444,0,0.111111111111111,1,1010000,1010000,"-","-"
"Pharoh Cooper","ARI",27,"WR",5,1,2,2,1,6,3,0,0,0,3,3,0.4,1.2,0.4,0,0,1,1035000,1035000,"-","-"
"Quez Watkins","PHI",24,"WR",17,8,51,33,0.647,354,10.7,3,13,37.3,53,6.9,1.9,20.8,3,0.176470588235294,0.764705882352941,4,3464664,866166,"$169,664","$169,664"
"Randall Cobb","GNB",32,"WR",13,3,50,34,0.68,417,12.3,1,19,56,40,8.3,2.6,32.1,3.84615384615385,0.0769230769230769,1.46153846153846,1,3e+06,3e+06,"$250,000","$250,000"
"Rashid Shaheed","NOR",24,"WR",12,6,34,28,0.824,488,17.4,2,18,70.6,68,14.4,2.3,40.7,2.83333333333333,0.166666666666667,1.5,2,1575000,787500,"-","-"
"Rashod Bateman","BAL",23,"WR",6,5,28,15,0.536,285,19,2,7,42.9,75,10.2,2.5,47.5,4.66666666666667,0.333333333333333,1.16666666666667,4,12599412,3149853,"$6,523,208","$12,599,412"
"Ray-Ray McCloud","SFO",26,"WR",17,2,25,14,0.56,243,17.4,1,11,52,42,9.7,0.8,14.3,1.47058823529412,0.0588235294117647,0.647058823529412,2,4e+06,2e+06,"$1,750,000","$2,785,000"
"Richie James","NYG",27,"WR",17,4,70,57,0.814,569,10,4,29,61.4,33,8.1,3.4,33.5,4.11764705882353,0.235294117647059,1.70588235294118,1,1232500,1232500,"$152,500","$552,500"
"River Cracraft","MIA",28,"WR",11,0,14,9,0.643,102,11.3,2,8,57.1,22,7.3,0.8,9.3,1.27272727272727,0.181818181818182,0.727272727272727,1,1080000,1080000,"-","-"
"Robert Woods","TEN",30,"WR",17,15,91,53,0.582,527,9.9,2,31,50.5,41,5.8,3.1,31,5.35294117647059,0.117647058823529,1.82352941176471,2,15250000,7625000,"$6,500,000","$10,000,000"
"Romeo Doubs","GNB",22,"WR",13,7,67,42,0.627,425,10.1,3,20,46.3,26,6.3,3.2,32.7,5.15384615384615,0.230769230769231,1.53846153846154,4,4343916,1085979,"$683,916","$683,916"
"Rondale Moore","ARI",22,"WR",8,8,56,41,0.732,414,10.1,1,16,46.4,38,7.4,5.1,51.8,7,0.125,2,4,6924241,1731060,"$2,395,812","$3,370,550"
"Russell Gage","TAM",26,"WR",13,4,70,51,0.729,426,8.4,5,31,62.9,23,6.1,3.9,32.8,5.38461538461539,0.384615384615385,2.38461538461538,3,3e+07,1e+07,"-","$15,000,000"
"Samori Toure","GNB",24,"WR",11,2,10,5,0.5,82,16.4,1,2,30,37,8.2,0.5,7.5,0.909090909090909,0.0909090909090909,0.181818181818182,4,3737008,934252,"$77,008","$77,008"
"Simi Fehoko","DAL",25,"WR",5,0,4,3,0.75,24,8,0,1,50,12,6,0.6,4.8,0.8,0,0.2,1,940000,940000,"-","-"
"Skyy Moore","KAN",22,"WR",16,3,33,22,0.667,250,11.4,0,13,63.6,30,7.6,1.4,15.6,2.0625,0,0.8125,4,6450498,1612625,"$1,871,272","$2,869,476"
"Stefon Diggs","BUF",29,"WR",16,16,154,108,0.701,1429,13.2,11,74,64.3,53,9.3,6.8,89.3,9.625,0.6875,4.625,4,9.6e+07,2.4e+07,"$21,500,000","$47,985,000"
"Sterling Shepard","NYG",29,"WR",3,2,24,13,0.542,154,11.8,1,4,29.2,65,6.4,4.3,51.3,8,0.333333333333333,1.33333333333333,1,1317500,1317500,"-","-"
"T.Y. Hilton","DAL",33,"WR",3,0,10,7,0.7,121,17.3,0,5,60,52,12.1,2.3,40.3,3.33333333333333,0,1.66666666666667,1,8e+05,8e+05,"-","$600,000"
"Tee Higgins","CIN",23,"WR",16,14,109,74,0.679,1029,13.9,7,47,59.6,59,9.4,4.6,64.3,6.8125,0.4375,2.9375,4,8686785,2171696,"$3,877,664","$5,882,518"
"Terry McLaurin","WAS",27,"WR",17,17,120,77,0.642,1191,15.5,5,56,55,52,9.9,4.5,70.1,7.05882352941176,0.294117647058824,3.29411764705882,3,68364000,22788000,"$28,000,000","$34,654,000"
"Tim Jones","JAX",24,"WR",17,1,4,3,0.75,30,10,0,1,75,20,7.5,0.2,1.8,0.235294117647059,0,0.0588235294117647,2,1575000,787500,"-","-"
"Trent Sherfield","MIA",26,"WR",17,4,51,30,0.588,417,13.9,2,18,45.1,75,8.2,1.8,24.5,3,0.117647058823529,1.05882352941176,1,1770000,1770000,"$300,000","$750,000"
